2015/12/02 11:33:09.786 , DENSITY1, 2000, 2000
2015/12/02 11:33:09.788 , DENSITY2, 2000, 2000
2015/12/02 11:33:09.788 , DENSITY3, 2000, 2000
2015/12/02 11:33:09.789 , DENSITY4, 2000, 2000
2015/12/02 11:33:09.790 , DENSITY5, 2000, 2000
2015/12/02 11:33:09.790 , DENSITY6, 2000, 2000
2015/12/02 11:33:09.791 , BCR1, 3000, 3000
2015/12/02 11:33:09.791 , BCR2, 3000, 3000
2015/12/02 11:33:09.792 , BCR3, 3000, 3000
2015/12/02 11:33:09.793 , BCR4, 3000, 3000
2015/12/02 11:33:09.793 , RIBBON1, 5000, 5000
2015/12/02 11:33:09.794 , RIBBON2, 5000, 5000
2015/12/02 11:33:09.794 , RIBBON3, 5000, 5000
2015/12/02 11:33:09.795 , RIBBON4, 5000, 5000
