2015/09/29 22:01:57.184 , DENSITY1, 2000, 2000
2015/09/29 22:01:57.186 , DENSITY2, 2000, 2000
2015/09/29 22:01:57.187 , DENSITY3, 2000, 2000
2015/09/29 22:01:57.189 , DENSITY4, 2000, 2000
2015/09/29 22:01:57.190 , DENSITY5, 2000, 2000
2015/09/29 22:01:57.191 , DENSITY6, 2000, 2000
2015/09/29 22:01:57.192 , BCR1, 3000, 3000
2015/09/29 22:01:57.195 , BCR2, 3000, 3000
2015/09/29 22:01:57.196 , BCR3, 3000, 3000
2015/09/29 22:01:57.197 , BCR4, 3000, 3000
2015/09/29 22:01:57.198 , RIBBON1, 5000, 5000
2015/09/29 22:01:57.199 , RIBBON2, 5000, 5000
2015/09/29 22:01:57.200 , RIBBON3, 5000, 5000
2015/09/29 22:01:57.201 , RIBBON4, 5000, 5000
